Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-8.57785426963895E-06,2.91685088001456E-11,-0.000974489333363107,0,0,0,4.32625731944912,0.00936193290592399,-2.41377958548306E-11,1.11730024887402E-06,0.00464359195689199,3.91172397325664E-12,0.00881969682014568,0,0,0,0,0,0,package://cx_arm/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://cx_arm/meshes/base_link.STL,,工字安装板-1;左臂装配体简化-1/旋转关节A1-1;右臂装配体简化-1/旋转关节A1-1,UCS,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link101,3.09073246348727E-19,0.0311194583357993,-0.0313358876222972,0,0,0,0.308135455569499,0.00036301532443775,-4.85280379528671E-20,1.31350202954282E-19,0.000311071590986095,-9.08288552069947E-05,0.000308601623909284,0,0,0,0,0,0,package://cx_arm/meshes/Link101.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://cx_arm/meshes/Link101.STL,,左臂装配体简化-1/旋转关节A支撑板-1,坐标系1,基准轴1,joint101,revolute,0,0.241,0,0,-1.5708,-1.5708,base_link,0,0,1,100,1,-3.14,3.14,,,,,,,,
Link102,6.55817899986033E-11,0.0474740262124326,-0.000349231545579993,0,0,0,2.69736870589475,0.0030082793755842,3.60652165853059E-11,-5.40640934400988E-11,0.0025464770034934,4.37126407123363E-05,0.00284907972609921,0,0,0,0,0,0,package://cx_arm/meshes/Link102.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://cx_arm/meshes/Link102.STL,,左臂装配体简化-1/旋转关节A2-1;左臂装配体简化-1/旋转关节A3-1,坐标系2,基准轴2,joint102,revolute,0,0,0,0,1.5708,1.5708,Link101,0,0,1,100,1,-3.14,3.14,,,,,,,,
Link103,0.00403786373486228,-8.5540454944355E-07,-0.110448513050592,0,0,0,0.542683241876569,0.00196275066135883,1.20230059837595E-08,-0.000106647178605952,0.00182891010022251,-9.87744488589856E-08,0.000634630066974942,0,0,0,0,0,0,package://cx_arm/meshes/Link103.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://cx_arm/meshes/Link103.STL,,左臂装配体简化-1/上臂连接壳体1-1,坐标系3,基准轴3,joint103,revolute,0,0.31051,0,-1.5708,-1.5708,0,Link102,0,0,1,100,1,-3.14,3.14,,,,,,,,
Link104,-0.0106288742525643,0.00774461275266647,2.27423330168008E-09,0,0,0,0.108256528066753,4.03178186223482E-05,-5.57671127233385E-07,7.06454927788419E-12,5.26215340888357E-05,-6.91116952457739E-12,4.11256800739082E-05,0,0,0,0,0,0,package://cx_arm/meshes/Link104.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://cx_arm/meshes/Link104.STL,,左臂装配体简化-1/大臂下连接件1-1,坐标系4,基准轴4,joint104,revolute,0.0125,0,0,1.5708,0,0,Link103,0,0,1,100,1,-3.14,3.14,,,,,,,,
Link105,0.00133867533735108,-2.520780639825E-07,-0.136878436349784,0,0,0,0.823764981510393,0.000805503567246632,4.34642990628367E-09,-3.4217286340017E-05,0.000788139498917337,2.41350428188773E-08,0.000520088884504294,0,0,0,0,0,0,package://cx_arm/meshes/Link105.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://cx_arm/meshes/Link105.STL,,左臂装配体简化-1/旋转关节B1-1;左臂装配体简化-1/下臂连接壳体1-1,坐标系5,基准轴5,joint105,revolute,-0.0125,0.20712,0,-1.5708,1.5708,0,Link104,0,0,1,100,1,-3.14,3.14,,,,,,,,
Link106,-0.0147561154984304,0.115479110569376,-1.14344406730722E-08,0,0,0,1.03484290276942,0.00380934495195938,5.37470018645263E-06,-7.18789559007885E-11,0.000540685574036727,-3.26010155413101E-10,0.00341220175694068,0,0,0,0,0,0,package://cx_arm/meshes/Link106.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://cx_arm/meshes/Link106.STL,,左臂装配体简化-1/下臂下连接件1-1;左臂装配体简化-1/左手-1,坐标系6,基准轴6,joint106,revolute,0.015,0,0,1.5708,0,0,Link105,0,0,1,100,1,-3.14,3.14,,,,,,,,
Link201,-1.84414916847598E-17,0.0311194583357994,0.0313358876222972,0,0,0,0.308135455569499,0.00036301532443775,-6.93176639822126E-20,5.27454345175039E-20,0.000311071590986095,9.08288552069948E-05,0.000308601623909284,0,0,0,0,0,0,package://cx_arm/meshes/Link201.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://cx_arm/meshes/Link201.STL,,右臂装配体简化-1/旋转关节A支撑板-1,坐标系7,基准轴7,joint201,revolute,0,-0.241,0,0,-1.5708,-1.5708,base_link,0,0,1,100,1,-3.14,3.14,,,,,,,,
Link202,6.55818455097545E-11,0.0474740262124326,-0.00034923154558,0,0,0,2.69736870589475,0.0030082793755842,3.60652161984646E-11,-5.40640933809016E-11,0.0025464770034934,4.37126407123364E-05,0.00284907972609921,0,0,0,0,0,0,package://cx_arm/meshes/Link202.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://cx_arm/meshes/Link202.STL,,右臂装配体简化-1/旋转关节A2-2;右臂装配体简化-1/旋转关节A3-1,坐标系8,基准轴8,joint202,revolute,0,0,0,0,1.5708,1.5708,Link201,0,0,1,100,1,-3.14,3.14,,,,,,,,
Link203,0.00403786373486148,-8.55404549082728E-07,-0.110448513050592,0,0,0,0.542683241876568,0.00196275066135882,1.20230059850405E-08,-0.00010664717860595,0.0018289101002225,-9.87744488602046E-08,0.000634630066974935,0,0,0,0,0,0,package://cx_arm/meshes/Link203.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://cx_arm/meshes/Link203.STL,,右臂装配体简化-1/上臂连接壳体1-1,坐标系9,基准轴9,joint203,revolute,0,0.31051,0,-1.5708,-1.5708,0,Link202,0,0,1,100,1,-3.14,3.14,,,,,,,,
